timestamp,pair,direction,price,quantity,balance_change,balance_after,reason
2026-06-20T09:00:00+08:00,BTCUSDT,long,104200,0.020,84.50,10084.50,trend breakout confirmed by volume expansion
2026-06-20T13:30:00+08:00,ETHUSDT,long,3560,0.650,-42.30,10042.20,false breakout after weak follow-through
2026-06-20T20:15:00+08:00,SOLUSDT,short,151.20,18.000,66.80,10109.00,mean reversion after funding spike
2026-06-21T08:45:00+08:00,BTCUSDT,long,105100,0.018,118.40,10227.40,momentum continuation with tight stop
2026-06-21T12:20:00+08:00,DOGEUSDT,long,0.181,12000.000,-58.90,10168.50,meme basket signal reversed
2026-06-21T16:05:00+08:00,ETHUSDT,short,3622,0.500,74.10,10242.60,resistance rejection and bearish divergence
2026-06-22T09:10:00+08:00,BTCUSDT,long,106300,0.016,-80.20,10162.40,macro headline volatility stopped position
2026-06-22T11:25:00+08:00,BTCUSDT,long,106050,0.016,-52.70,10109.70,re-entry before confirmation
2026-06-22T14:40:00+08:00,BTCUSDT,long,105600,0.016,-36.40,10073.30,loss streak caused by trend filter lag
2026-06-22T19:55:00+08:00,SOLUSDT,long,148.80,20.000,92.20,10165.50,oversold bounce with improving breadth
2026-06-23T07:30:00+08:00,ETHUSDT,long,3515,0.600,64.60,10230.10,range recovery above VWAP
2026-06-23T10:10:00+08:00,BTCUSDT,short,104980,0.014,51.90,10282.00,failure to reclaim prior high
2026-06-23T15:45:00+08:00,DOGEUSDT,short,0.176,10000.000,38.50,10320.50,risk-off meme coin rotation
2026-06-24T08:00:00+08:00,SOLUSDT,long,154.30,16.000,-44.80,10275.70,late entry after fast move
2026-06-24T12:35:00+08:00,ETHUSDT,long,3590,0.500,96.20,10371.90,trend resumption after consolidation
2026-06-24T18:20:00+08:00,BTCUSDT,long,107200,0.015,124.00,10495.90,breakout with broad market confirmation
2026-06-25T09:05:00+08:00,BTCUSDT,long,108050,0.014,-71.30,10424.60,failed continuation during news reversal
2026-06-25T13:50:00+08:00,ETHUSDT,short,3665,0.450,12.30,10436.90,small scalp after sentiment cooling

